sentence,neg,neu,pos,compound
Such was the untimely end of a very brave and gallant gentleman.,0.0,0.575,0.425,0.7688
"What do you think, Geraldine?""",0.0,1.0,0.0,0.0
"But Geraldine, lost long before, could only smile roguishly, wave her first finger at him, and repeat her bridgeall, her explainall ""Crazy!""",0.111,0.755,0.134,0.1511
"she said, ""you craaazy!""",0.0,1.0,0.0,0.0
"His thin face was kindly, she thought, and his eyes quite gentle.",0.0,0.61,0.39,0.7501
"She liked him because he was arrogant without being conceited, and because, unlike the men she met about the theatre, he had a horror of being conspicuous.",0.211,0.703,0.086,-0.6249
"What an odd, pointless story!",0.393,0.607,0.0,-0.3802
But she had enjoyed the part about the stocking!,0.0,0.628,0.372,0.6948
"After the fifth cocktail he kissed her, and between laughter and bantering caresses and a halfstifled flare of passion they passed an hour.",0.0,0.683,0.317,0.8316
"At fourthirty she claimed an engagement, and going into the bathroom she rearranged her hair.",0.0,0.824,0.176,0.4588
Refusing to let him order her a taxi she stood for a moment in the doorway.,0.172,0.828,0.0,-0.4019
"""You will get married,"" she was insisting, ""you wait and see.""",0.0,1.0,0.0,0.0
"Anthony was playing with an ancient tennis ball, and he bounced it carefully on the floor several times before he answered with a soupon of acidity ""You're a little idiot, Geraldine.""",0.093,0.805,0.102,-0.1796
She smiled provokingly.,0.0,0.364,0.636,0.5423
"""Oh, I am, am I?",0.0,1.0,0.0,0.0
"Want to bet?""",0.0,0.606,0.394,0.0772
"""That'd be silly too.""",0.0,0.732,0.268,0.0258
"""Oh, it would, would it?",0.0,1.0,0.0,0.0
"Well, I'll just bet you'll marry somebody inside of a year.""",0.0,0.811,0.189,0.2732
Anthony bounced the tennis ball very hard.,0.22,0.78,0.0,-0.1761
"This was one of his handsome days, she thought a sort of intensity had displaced the melancholy in his dark eyes.",0.12,0.747,0.133,0.0772
"""Geraldine,"" he said, at length, ""in the first place I have no one I want to marry in the second place I haven't enough money to support two people in the third place I am entirely opposed to marriage for people of my type in the fourth place I have a strong distaste for even the abstract consideration of it.""",0.037,0.84,0.123,0.6249
"But Geraldine only narrowed her eyes knowingly, made her clicking sound, and said she must be going.",0.0,1.0,0.0,0.0
It was late.,0.0,1.0,0.0,0.0
"""Call me up soon,"" she reminded him as he kissed her goodbye, ""you haven't for three weeks, you know.""",0.0,0.874,0.126,0.3818
"""I will,"" he promised fervently.",0.0,0.615,0.385,0.3612
He shut the door and coming back into the room stood for a moment lost in thought with the tennis ball still clasped in his hand.,0.081,0.807,0.112,0.2263
"There was one of his lonelinesses coming, one of those times when he walked the streets or sat, aimless and depressed, biting a pencil at his desk.",0.195,0.805,0.0,-0.7003
"It was a selfabsorption with no comfort, a demand for expression with no outlet, a sense of time rushing by, ceaselessly and wastefullyassuaged only by that conviction that there was nothing to waste, because all efforts and attainments were equally valueless.",0.135,0.755,0.11,-0.0176
"He thought with emotionaloud, ejaculative, for he was hurt and confused.",0.388,0.612,0.0,-0.6908
"""No idea of getting married, by God!""",0.293,0.707,0.0,-0.3595
"Of a sudden he hurled the tennis ball violently across the room, where it barely missed the lamp, and, rebounding here and there for a moment, lay still upon the floor.",0.174,0.826,0.0,-0.6915
"SIGNLIGHT AND MOONLIGHT For her dinner Gloria had taken a table in the Cascades at the Biltmore, and when the men met in the hall outside a little after eight, ""that person Bloeckman"" was the target of six masculine eyes.",0.0,1.0,0.0,0.0
"He was a stoutening, ruddy Jew of about thirtyfive, with an expressive face under smooth sandy hairand, no doubt, in most business gatherings his personality would have been considered ingratiating.",0.148,0.852,0.0,-0.5719
"He sauntered up to the three younger men, who stood in a group smoking as they waited for their hostess, and introduced himself with a little too evident assurancenevertheless it is to be doubted whether he received the intended impression of faint and ironic chill there was no hint of understanding in his manner.",0.104,0.862,0.034,-0.4404
"""You related to Adam J.",0.0,1.0,0.0,0.0
"Patch?""",0.0,1.0,0.0,0.0
"he inquired of Anthony, emitting two slender strings of smoke from nostrils overwide.",0.0,1.0,0.0,0.0
Anthony admitted it with the ghost of a smile.,0.205,0.446,0.348,0.1531
"""He's a fine man,"" pronounced Bloeckman profoundly.",0.0,0.735,0.265,0.2023
"""He's a fine example of an American.""",0.0,0.735,0.265,0.2023
"""Yes,"" agreed Anthony, ""he certainly is.""",0.0,0.471,0.529,0.5423
"I detest these underdone men, he thought coldly.",0.0,1.0,0.0,0.0
Boiled looking!,0.0,1.0,0.0,0.0
Ought to be shoved back in the oven just one more minute would do it.,0.0,1.0,0.0,0.0
Bloeckman squinted at his watch.,0.0,1.0,0.0,0.0
"""Time these girls were showing up ..."" Anthony waited breathlessly it came ""... but then,"" with a widening smile, ""you know how women are.""",0.0,0.871,0.129,0.5023
"The three young men nodded Bloeckman looked casually about him, his eyes resting critically on the ceiling and then passing lower.",0.096,0.83,0.074,-0.128
His expression combined that of a Middle Western farmer appraising his wheat crop and that of an actor wondering whether he is observedthe public manner of all good Americans.,0.0,0.903,0.097,0.4404
"As he finished his survey he turned back quickly to the reticent trio, determined to strike to their very heart and core.",0.063,0.837,0.1,0.2263
"""You college men?",0.0,1.0,0.0,0.0
"... Harvard, eh.",0.0,1.0,0.0,0.0
"I see the Princeton boys beat you fellows in hockey.""",0.0,1.0,0.0,0.0
Unfortunate man.,0.75,0.25,0.0,-0.4588
He had drawn another blank.,0.0,1.0,0.0,0.0
They had been three years out and heeded only the big football games.,0.0,1.0,0.0,0.0
"Whether, after the failure of this sally, Mr. Bloeckman would have perceived himself to be in a cynical atmosphere is problematical, for Gloria arrived.",0.303,0.697,0.0,-0.8271
Muriel arrived.,0.0,1.0,0.0,0.0
Rachael arrived.,0.0,1.0,0.0,0.0
"After a hurried ""Hello, people!""",0.0,1.0,0.0,0.0
"uttered by Gloria and echoed by the other two, the three swept by into the dressing room.",0.0,1.0,0.0,0.0
A moment later Muriel appeared in a state of elaborate undress and crept toward them.,0.0,1.0,0.0,0.0
She was in her element her ebony hair was slicked straight back on her head her eyes were artificially darkened she reeked of insistent perfume.,0.108,0.824,0.068,-0.2732
"She was got up to the best of her ability as a siren, more popularly a ""vamp""a picker up and thrower away of men, an unscrupulous and fundamentally unmoved toyer with affections.",0.0,0.683,0.317,0.902
Something in the exhaustiveness of her attempt fascinated Maury at first sighta woman with wide hips affecting a pantherlike litheness!,0.093,0.756,0.151,0.3164
"As they waited the extra three minutes for Gloria, and, by polite assumption, for Rachael, he was unable to take his eyes from her.",0.0,1.0,0.0,0.0
"She would turn her head away, lowering her eyelashes and biting her nether lip in an amazing exhibition of coyness.",0.084,0.756,0.16,0.4215
"She would rest her hands on her hips and sway from side to side in tune to the music, saying ""Did you ever hear such perfect ragtime?",0.0,0.875,0.125,0.5719
"I just can't make my shoulders behave when I hear that.""",0.0,1.0,0.0,0.0
Mr. Bloeckman clapped his hands gallantly.,0.0,0.633,0.367,0.4404
"""You ought to be on the stage.""",0.0,1.0,0.0,0.0
"""I'd like to be!""",0.0,0.518,0.482,0.4199
"cried Muriel ""will you back me?""",0.342,0.658,0.0,-0.3818
"""I sure will.""",0.0,0.465,0.535,0.3182
"With becoming modesty Muriel ceased her motions and turned to Maury, asking what he had ""seen"" this year.",0.0,1.0,0.0,0.0
"He interpreted this as referring to the dramatic world, and they had a gay and exhilarating exchange of titles, after this manner MURIEL Have you seen ""Peg o' My Heart""?",0.0,0.912,0.088,0.4019
"MAURY No, I haven't.",0.524,0.476,0.0,-0.296
MURIEL Eagerly It's wonderful!,0.0,0.233,0.767,0.7644
You want to see it.,0.0,0.755,0.245,0.0772
"MAURY Have you seen ""Omar, the Tentmaker""?",0.0,1.0,0.0,0.0
"MURIEL No, but I hear it's wonderful.",0.15,0.376,0.474,0.6652
I'm very anxious to see it.,0.314,0.686,0.0,-0.3167
"Have you seen ""Fair and Warmer""?",0.0,0.685,0.315,0.3182
MAURY Hopefully Yes.,0.0,0.156,0.844,0.6597
MURIEL I don't think it's very good.,0.0,0.61,0.39,0.4927
It's trashy.,0.0,1.0,0.0,0.0
"MAURY Faintly Yes, that's true.",0.0,0.353,0.647,0.6705
"MURIEL But I went to ""Within the Law"" last night and I thought it was fine.",0.0,0.855,0.145,0.296
"Have you seen ""The Little Cafe""?...",0.0,1.0,0.0,0.0
This continued until they ran out of plays.,0.0,0.778,0.222,0.25
"Dick, meanwhile, turned to Mr. Bloeckman, determined to extract what gold he could from this unpromising load.",0.159,0.725,0.116,-0.2263
"""I hear all the new novels are sold to the moving pictures as soon as they come out.""",0.0,1.0,0.0,0.0
"""That's true.",0.0,0.263,0.737,0.4215
"Of course the main thing in a moving picture is a strong story.""",0.0,0.752,0.248,0.5106
"""Yes, I suppose so.""",0.0,1.0,0.0,0.0
"""So many novels are all full of talk and psychology.",0.0,1.0,0.0,0.0
Of course those aren't as valuable to us.,0.267,0.733,0.0,-0.3724
"It's impossible to make much of that interesting on the screen.""",0.0,0.787,0.213,0.4019
"""You want plots first,"" said Richard brilliantly.",0.0,0.485,0.515,0.6486
"""Of course.",0.0,1.0,0.0,0.0
"Plots first"" He paused, shifted his gaze.",0.0,1.0,0.0,0.0
"His pause spread, included the others with all the authority of a warning finger.",0.163,0.748,0.088,-0.2732
Gloria followed by Rachael was coming out of the dressing room.,0.0,1.0,0.0,0.0
"Among other things it developed during dinner that Joseph Bloeckman never danced, but spent the music time watching the others with the bored tolerance of an elder among children.",0.082,0.832,0.086,0.0387
He was a dignified man and a proud one.,0.0,0.442,0.558,0.743
Born in Munich he had begun his American career as a peanut vender with a travelling circus.,0.0,1.0,0.0,0.0
"At eighteen he was a side show ballyhoo later, the manager of the side show, and, soon after, the proprietor of a secondclass vaudeville house.",0.0,1.0,0.0,0.0
"Just when the moving picture had passed out of the stage of a curiosity and become a promising industry he was an ambitious young man of twentysix with some money to invest, nagging financial ambitions and a good working knowledge of the popular show business.",0.053,0.723,0.225,0.8316
That had been nine years before.,0.0,1.0,0.0,0.0
"The moving picture industry had borne him up with it where it threw off dozens of men with more financial ability, more imagination, and more practical ideas...and now he sat here and contemplated the immortal Gloria for whom young Stuart Holcome had gone from New York to Pasadenawatched her, and knew that presently she would cease dancing and come back to sit on his left hand.",0.0,0.89,0.11,0.7769
He hoped she would hurry.,0.0,0.606,0.394,0.3818
The oysters had been standing some minutes.,0.0,1.0,0.0,0.0
"Meanwhile Anthony, who had been placed on Gloria's left hand, was dancing with her, always in a certain fourth of the floor.",0.0,0.782,0.218,0.6486
"This, had there been stags, would have been a delicate tribute to the girl, meaning ""Damn you, don't cut in!""",0.123,0.727,0.15,-0.2448
It was very consciously intimate.,0.0,1.0,0.0,0.0
"""Well,"" he began, looking down at her, ""you look mighty sweet tonight.""",0.0,0.786,0.214,0.4588
She met his eyes over the horizontal half foot that separated them.,0.0,1.0,0.0,0.0
"""Thank youAnthony.""",0.0,0.286,0.714,0.3612
"""In fact you're uncomfortably beautiful,"" he added.",0.31,0.69,0.0,-0.4019
There was no smile this time.,0.253,0.46,0.287,0.0772
"""And you're very charming.""",0.0,1.0,0.0,0.0
"""Isn't this nice?""",0.0,1.0,0.0,0.0
he laughed.,0.0,0.25,0.75,0.4588
"""We actually approve of each other.""",0.0,1.0,0.0,0.0
"""Don't you, usually?""",0.0,1.0,0.0,0.0
"She had caught quickly at his remark, as she always did at any unexplained allusion to herself, however faint.",0.0,1.0,0.0,0.0
"He lowered his voice, and when he spoke there was in it no more than a wisp of badinage.",0.188,0.812,0.0,-0.4019
"""Does a priest approve the Pope?""",0.0,1.0,0.0,0.0
"""I don't knowbut that's probably the vaguest compliment I ever received.""",0.0,0.744,0.256,0.4767
"""Perhaps I can muster a few bromides.""",0.0,1.0,0.0,0.0
"""Well, I wouldn't have you strain yourself.",0.0,0.813,0.187,0.0382
Look at Muriel!,0.0,1.0,0.0,0.0
"Right here next to us.""",0.0,1.0,0.0,0.0
He glanced over his shoulder.,0.0,1.0,0.0,0.0
Muriel was resting her brilliant cheek against the lapel of Maury Noble's dinner coat and her powdered left arm was apparently twisted around his head.,0.0,0.863,0.137,0.5859
One was impelled to wonder why she failed to seize the nape of his neck with her hand.,0.147,0.711,0.142,-0.0258
"Her eyes, turned ceilingward, rolled largely back and forth her hips swayed, and as she danced she kept up a constant low singing.",0.091,0.909,0.0,-0.2732
"This at first seemed to be a translation of the song into some foreign tongue but became eventually apparent as an attempt to fill out the metre of the song with the only words she knewthe words of the title ""He's a ragpicker, A ragpicker A ragtime picking man, Ragpicking, picking, pick, pick, Ragpick, pick, pick.""",0.0,1.0,0.0,0.0
"and so on, into phrases still more strange and barbaric.",0.189,0.811,0.0,-0.2716
"When she caught the amused glances of Anthony and Gloria she acknowledged them only with a faint smile and a halfclosing of her eyes, to indicate that the music entering into her soul had put her into an ecstatic and exceedingly seductive trance.",0.0,0.815,0.185,0.8225
"The music ended and they returned to their table, whose solitary but dignified occupant arose and tendered each of them a smile so ingratiating that it was as if he were shaking their hands and congratulating them on a brilliant performance.",0.041,0.673,0.287,0.9253
"""Blockhead never will dance!",0.0,1.0,0.0,0.0
"I think he has a wooden leg,"" remarked Gloria to the table at large.",0.0,1.0,0.0,0.0
The three young men started and the gentleman referred to winced perceptibly.,0.0,1.0,0.0,0.0
This was the one rough spot in the course of Bloeckman's acquaintance with Gloria.,0.0,1.0,0.0,0.0
She relentlessly punned on his name.,0.0,1.0,0.0,0.0
"First it had been ""Blockhouse.""",0.0,1.0,0.0,0.0
"lately, the more invidious ""Blockhead.""",0.0,1.0,0.0,0.0
"He had requested with a strong undertone of irony that she use his first name, and this she had done obediently several timesthen slipping, helpless, repentant but dissolved in laughter, back into ""Blockhead.""",0.083,0.746,0.172,0.6542
It was a very sad and thoughtless thing.,0.571,0.429,0.0,-0.7688
"""I'm afraid Mr. Bloeckman thinks we're a frivolous crowd,"" sighed Muriel, waving a balanced oyster in his direction.",0.0,1.0,0.0,0.0
"""He has that air,"" murmured Rachael.",0.0,1.0,0.0,0.0
Anthony tried to remember whether she had said anything before.,0.0,1.0,0.0,0.0
He thought not.,0.0,1.0,0.0,0.0
It was her initial remark.,0.0,1.0,0.0,0.0
"Mr. Bloeckman suddenly cleared his throat and said in a loud, distinct voice ""On the contrary.",0.0,0.909,0.091,0.1027
When a man speaks he's merely tradition.,0.0,1.0,0.0,0.0
He has at best a few thousand years back of him.,0.0,0.682,0.318,0.6369
"But woman, why, she is the miraculous mouthpiece of posterity.""",0.0,1.0,0.0,0.0
"In the stunned pause that followed this astounding remark, Anthony choked suddenly on an oyster and hurried his napkin to his face.",0.168,0.71,0.121,-0.0644
"Rachael and Muriel raised a mild if somewhat surprised laugh, in which Dick and Maury joined, both of them red in the face and restraining uproariousness with the most apparent difficulty.",0.162,0.704,0.134,-0.2616
"""My God!""",0.0,1.0,0.0,0.0
thought Anthony.,0.0,1.0,0.0,0.0
"""It's a subtitle from one of his movies.",0.0,1.0,0.0,0.0
"The man's memorized it!""",0.0,1.0,0.0,0.0
Gloria alone made no sound.,0.583,0.417,0.0,-0.4939
She fixed Mr. Bloeckman with a glance of silent reproach.,0.0,1.0,0.0,0.0
"""Well, for the love of Heaven!",0.0,0.339,0.661,0.8313
"Where on earth did you dig that up?""",0.0,1.0,0.0,0.0
"Bloeckman looked at her uncertainly, not sure of her intention.",0.353,0.647,0.0,-0.5207
But in a moment he recovered his poise and assumed the bland and consciously tolerant smile of an intellectual among spoiled and callow youth.,0.0,0.659,0.341,0.8847
"The soup came up from the kitchenbut simultaneously the orchestra leader came up from the bar, where he had absorbed the tone color inherent in a seidel of beer.",0.0,1.0,0.0,0.0
"So the soup was left to cool during the delivery of a ballad entitled ""Everything's at Home Except Your Wife.""",0.0,0.794,0.206,0.5267
Then the champagneand the party assumed more amusing proportions.,0.0,0.556,0.444,0.6801
"The men, except Richard Caramel, drank freely Gloria and Muriel sipped a glass apiece Rachael Jerryl took none.",0.0,0.847,0.153,0.4404
"They sat out the waltzes but danced to everything elseall except Gloria, who seemed to tire after a while and preferred to sit smoking at the table, her eyes now lazy, now eager, according to whether she listened to Bloeckman or watched a pretty woman among the dancers.",0.06,0.799,0.14,0.6486
Several times Anthony wondered what Bloeckman was telling her.,0.0,1.0,0.0,0.0
"He was chewing a cigar back and forth in his mouth, and had expanded after dinner to the extent of violent gestures.",0.163,0.837,0.0,-0.5994
Ten o'clock found Gloria and Anthony beginning a dance.,0.0,1.0,0.0,0.0
"Just as they were out of earshot of the table she said in a low voice ""Dance over by the door.",0.1,0.9,0.0,-0.2732
"I want to go down to the drugstore.""",0.0,0.822,0.178,0.0772
"Obediently Anthony guided her through the crowd in the designated direction in the hall she left him for a moment, to reappear with a cloak over her arm.",0.0,1.0,0.0,0.0
"""I want some gumdrops,"" she said, humorously apologetic ""you can't guess what for this time.",0.0,0.739,0.261,0.5574
"It's just that I want to bite my fingernails, and I will if I don't get some gumdrops.""",0.0,0.915,0.085,0.0772
"She sighed, and resumed as they stepped into the empty elevator ""I've been biting 'em all day.",0.101,0.899,0.0,-0.2023
"A bit nervous, you see.",0.412,0.588,0.0,-0.2732
Excuse the pun.,0.0,0.606,0.394,0.0772
It was unintentionalthe words just arranged themselves.,0.0,1.0,0.0,0.0
"Gloria Gilbert, the female wag.""",0.0,1.0,0.0,0.0
"Reaching the ground floor they navely avoided the hotel candy counter, descended the wide front staircase, and walking through several corridors found a drugstore in the Grand Central Station.",0.075,0.776,0.149,0.34
After an intense examination of the perfume counter she made her purchase.,0.0,0.894,0.106,0.0772
"Then on some mutual unmentioned impulse they strolled, arm in arm, not in the direction from which they had come, but out into Fortythird Street.",0.0,1.0,0.0,0.0
The night was alive with thaw it was so nearly warm that a breeze drifting low along the sidewalk brought to Anthony a vision of an unhopedfor hyacinthine spring.,0.066,0.721,0.213,0.5688
"Above in the blue oblong of sky, around them in the caress of the drifting air, the illusion of a new season carried relief from the stiff and breathedover atmosphere they had left, and for a hushed moment the traffic sounds and the murmur of water flowing in the gutters seemed an illusive and rarefied prolongation of that music to which they had lately danced.",0.0,0.952,0.048,0.4767
When Anthony spoke it was with surety that his words came from something breathless and desirous that the night had conceived in their two hearts.,0.0,0.842,0.158,0.5106
"""Let's take a taxi and ride around a bit!""",0.0,1.0,0.0,0.0
"he suggested, without looking at her.",0.0,1.0,0.0,0.0
"Oh, Gloria, Gloria!",0.0,1.0,0.0,0.0
A cab yawned at the curb.,0.0,1.0,0.0,0.0
"As it moved off like a boat on a labyrinthine ocean and lost itself among the inchoate night masses of the great buildings, among the now stilled, now strident, cries and clangings, Anthony put his arm around the girl, drew her over to him and kissed her damp, childish mouth.",0.123,0.719,0.158,0.4588
She was silent.,0.0,1.0,0.0,0.0
"She turned her face up to him, pale under the wisps and patches of light that trailed in like moonshine through a foliage.",0.0,0.894,0.106,0.3612
Her eyes were gleaming ripples in the white lake of her face the shadows of her hair bordered the brow with a persuasive unintimate dusk.,0.0,1.0,0.0,0.0
"No love was there, surely nor the imprint of any love.",0.107,0.341,0.551,0.8779
"Her beauty was cool as this damp breeze, as the moist softness of her own lips.",0.0,0.697,0.303,0.7269
"""You're such a swan in this light,"" he whispered after a moment.",0.0,1.0,0.0,0.0
There were silences as murmurous as sound.,0.0,1.0,0.0,0.0
"There were pauses that seemed about to shatter and were only to be snatched back to oblivion by the tightening of his arms about her and the sense that she was resting there as a caught, gossamer feather, drifted in out of the dark.",0.0,1.0,0.0,0.0
"Anthony laughed, noiselessly and exultantly, turning his face up and away from her, half in an overpowering rush of triumph, half lest her sight of him should spoil the splendid immobility of her expression.",0.0,0.709,0.291,0.9062
"Such a kissit was a flower held against the face, never to be described, scarcely to be remembered as though her beauty were giving off emanations of itself which settled transiently and already dissolving upon his heart.",0.0,0.842,0.158,0.7351
...,0.0,1.0,0.0,0.0
"The buildings fell away in melted shadows this was the Park now, and after a long while the great white ghost of the Metropolitan Museum moved majestically past, echoing sonorously to the rush of the cab.",0.058,0.838,0.104,0.4215
"""Why, Gloria!",0.0,1.0,0.0,0.0
"Why, Gloria!""",0.0,1.0,0.0,0.0
"Her eyes appeared to regard him out of many thousand years all emotion she might have felt, all words she might have uttered, would have seemed inadequate beside the adequacy of her silence, ineloquent against the eloquence of her beautyand of her body, close to him, slender and cool.",0.052,0.904,0.044,-0.1027
"""Tell him to turn around,"" she murmured, ""and drive pretty fast going back...."" Up in the supper room the air was hot.",0.0,0.868,0.132,0.4939
"The table, littered with napkins and ashtrays, was old and stale.",0.0,1.0,0.0,0.0
"It was between dances as they entered, and Muriel Kane looked up with roguishness extraordinary.",0.0,1.0,0.0,0.0
"""Well, where have you been?""",0.0,1.0,0.0,0.0
"""To call up mother,"" answered Gloria coolly.",0.0,1.0,0.0,0.0
"""I promised her I would.",0.0,0.545,0.455,0.3612
"Did we miss a dance?""",0.348,0.652,0.0,-0.1531
Then followed an incident that though slight in itself Anthony had cause to reflect on many years afterward.,0.0,1.0,0.0,0.0
"Joseph Bloeckman, leaning well back in his chair, fixed him with a peculiar glance, in which several emotions were curiously and inextricably mingled.",0.0,0.844,0.156,0.4019
"He did not greet Gloria except by rising, and he immediately resumed a conversation with Richard Caramel about the influence of literature on the moving pictures.",0.076,0.924,0.0,-0.2411
MAGIC The stark and unexpected miracle of a night fades out with the lingering death of the last stars and the premature birth of the first newsboys.,0.123,0.757,0.12,-0.0258
The flame retreats to some remote and platonic fire the white heat has gone from the iron and the glow from the coal.,0.098,0.902,0.0,-0.34
"Along the shelves of Anthony's library, filling a wall amply, crept a chill and insolent pencil of sunlight touching with frigid disapproval Thrse of France and Ann the Superwoman, Jenny of the Orient Ballet and Zuleika the Conjurerand Hoosier Corathen down a shelf and into the years, resting pityingly on the overinvoked shades of Helen, Thas, Salome, and Cleopatra.",0.035,0.965,0.0,-0.25
"Anthony, shaved and bathed, sat in his most deeply cushioned chair and watched it until at the steady rising of the sun it lay glinting for a moment on the silk ends of the rugand went out.",0.0,1.0,0.0,0.0
It was ten o'clock.,0.0,1.0,0.0,0.0
"The Sunday Times, scattered about his feet, proclaimed by rotogravure and editorial, by social revelation and sporting sheet, that the world had been tremendously engrossed during the past week in the business of moving toward some splendid if somewhat indeterminate goal.",0.0,0.873,0.127,0.6901
"For his part Anthony had been once to his grandfather's, twice to his broker's, and three times to his tailor'sand in the last hour of the week's last day he had kissed a very beautiful and charming girl.",0.0,0.758,0.242,0.8969
"When he reached home his imagination had been teeming with high pitched, unfamiliar dreams.",0.0,0.745,0.255,0.4767
"There was suddenly no question on his mind, no eternal problem for a solution and resolution.",0.348,0.539,0.113,-0.5859
"He had experienced an emotion that was neither mental nor physical, nor merely a mixture of the two, and the love of life absorbed him for the present to the exclusion of all else.",0.059,0.829,0.112,0.4588
He was content to let the experiment remain isolated and unique.,0.187,0.813,0.0,-0.3182
Almost impersonally he was convinced that no woman he had ever met compared in any way with Gloria.,0.105,0.766,0.129,0.128
She was deeply herself she was immeasurably sincereof these things he was certain.,0.0,0.851,0.149,0.2732
"Beside her the two dozen schoolgirls and debutantes, young married women and waifs and strays whom he had known were so many females, in the word's most contemptuous sense, breeders and bearers, exuding still that faintly odorous atmosphere of the cave and the nursery.",0.075,0.925,0.0,-0.5413
"So far as he could see, she had neither submitted to any will of his nor caressed his vanityexcept as her pleasure in his company was a caress.",0.0,0.875,0.125,0.5719
Indeed he had no reason for thinking she had given him aught that she did not give to others.,0.109,0.891,0.0,-0.296
This was as it should be.,0.0,1.0,0.0,0.0
The idea of an entanglement growing out of the evening was as remote as it would have been repugnant.,0.0,0.914,0.086,0.1779
And she had disclaimed and buried the incident with a decisive untruth.,0.0,0.84,0.16,0.2263
Here were two young people with fancy enough to distinguish a game from its realitywho by the very casualness with which they met and passed on would proclaim themselves unharmed.,0.0,1.0,0.0,0.0
Having decided this he went to the phone and called up the Plaza Hotel.,0.0,1.0,0.0,0.0
Gloria was out.,0.0,1.0,0.0,0.0
Her mother knew neither where she had gone nor when she would return.,0.0,1.0,0.0,0.0
It was somehow at this point that the first wrongness in the case asserted itself.,0.0,1.0,0.0,0.0
"There was an element of callousness, almost of indecency, in Gloria's absence from home.",0.0,1.0,0.0,0.0
He suspected that by going out she had intrigued him into a disadvantage.,0.32,0.68,0.0,-0.5719
"Returning she would find his name, and smile.",0.0,0.737,0.263,0.3612
Most discreetly!,0.0,1.0,0.0,0.0
He should have waited a few hours in order to drive home the utter inconsequence with which he regarded the incident.,0.0,1.0,0.0,0.0
What an asinine blunder!,0.0,1.0,0.0,0.0
She would think he considered himself particularly favored.,0.0,0.694,0.306,0.4754
She would think he was reacting with the most inept intimacy to a quite trivial episode.,0.09,0.91,0.0,-0.101
"He remembered that during the previous month his janitor, to whom he had delivered a rather muddled lecture on the ""brotherhoove man,"" had come up next day and, on the basis of what had happened the night before, seated himself in the window seat for a cordial and chatty halfhour.",0.0,1.0,0.0,0.0
Anthony wondered in horror if Gloria would regard him as he had regarded that man.,0.209,0.791,0.0,-0.5719
HimAnthony Patch!,0.0,1.0,0.0,0.0
Horror!,1.0,0.0,0.0,-0.6114
"It never occurred to him that he was a passive thing, acted upon by an influence above and beyond Gloria, that he was merely the sensitive plate on which the photograph was made.",0.0,0.945,0.055,0.2023
"Some gargantuan photographer had focussed the camera on Gloria and snap!the poor plate could but develop, confined like all things to its nature.",0.077,0.79,0.133,0.3595
"But Anthony, lying upon his couch and staring at the orange lamp, passed his thin fingers incessantly through his dark hair and made new symbols for the hours.",0.146,0.854,0.0,-0.6808
"She was in a shop now, it seemed, moving lithely among the velvets and the furs, her own dress making, as she walked, a debonair rustle in that world of silken rustles and cool soprano laughter and scents of many slain but living flowers.",0.0,0.883,0.117,0.4854
"The Minnies and Pearls and jewels and jennies would gather round her like courtiers, bearing wispy frailties of Georgette crepe, delicate chiffon to echo her cheeks in faint pastel, milky lace to rest in pale disarray against her neckdamask was used but to cover priests and divans in these days, and cloth of Samarand was remembered only by the romantic poets.",0.0,0.872,0.128,0.7506
"She would go elsewhere after a while, tilting her head a hundred ways under a hundred bonnets, seeking in vain for mock cherries to match her lips or plumes that were graceful as her own supple body.",0.141,0.783,0.076,-0.3818
"Noon would comeshe would hurry along Fifth Avenue, a Nordic Ganymede, her fur coat swinging fashionably with her steps, her cheeks redder by a stroke of the wind's brush, her breath a delightful mist upon the bracing airand the doors of the Ritz would revolve, the crowd would divide, fifty masculine eyes would start, stare, as she gave back forgotten dreams to the husbands of many obese and comic women.",0.026,0.884,0.09,0.6808
One o'clock.,0.0,1.0,0.0,0.0
"With her fork she would tantalize the heart of an adoring artichoke, while her escort served himself up in the thick, dripping sentences of an enraptured man.",0.0,0.839,0.161,0.5859
"Four o'clock her little feet moving to melody, her face distinct in the crowd, her partner happy as a petted puppy and mad as the immemorial hatter.... Thenthen night would come drifting down and perhaps another damp.",0.078,0.831,0.09,0.128
The signs would spill their light into the street.,0.0,1.0,0.0,0.0
Who knew?,0.0,1.0,0.0,0.0
"No wiser than he, they haply sought to recapture that picture done in cream and shadow they had seen on the hushed Avenue the night before.",0.077,0.845,0.077,0.0
"And they might, ah, they might!",0.0,1.0,0.0,0.0
"A thousand taxis would yawn at a thousand corners, and only to him was that kiss forever lost and done.",0.109,0.758,0.133,0.128
In a thousand guises Thas would hail a cab and turn up her face for loving.,0.0,0.698,0.302,0.6369
"And her pallor would be virginal and lovely, and her kiss chaste as the moon....",0.0,0.663,0.337,0.765
He sprang excitedly to his feet.,0.0,0.602,0.398,0.5106
How inappropriate that she should be out!,0.0,1.0,0.0,0.0
"He had realized at last what he wantedto kiss her again, to find rest in her great immobility.",0.0,0.699,0.301,0.7845
"She was the end of all restlessness, all malcontent.",0.216,0.784,0.0,-0.296
"Anthony dressed and went out, as he should have done long before, and down to Richard Caramel's room to hear the last revision of the last chapter of ""The Demon Lover.""",0.0,1.0,0.0,0.0
He did not call Gloria again until six.,0.0,1.0,0.0,0.0
